TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,ID_MAQ,P_S9P118,P_S9P119,P_S9P120
9,170,19,19001,00940000,081301272,19001005,2,9999999915,0,1
9,170,19,19001,00940000,081301272,19001005,4,432200900,1,0
9,170,19,19001,00940000,081301278,19001005,1,9999999915,1,0
9,170,19,19001,00940000,081301296,19001005,1,9999999915,1,0
9,170,19,19001,00940000,081301353,19001005,1,441230300,0,1
9,170,19,19001,00940000,082026086,19001023,1,432200900,1,0
9,170,19,19001,00940000,087000624,19001005,1,9999999915,1,0
9,170,19,19001,00940000,087000626,19001005,1,9999999915,1,0
9,170,19,19001,00940001,000114998,19001012,1,,,
9,170,19,19001,00948261,000115001,19001012,1,,,
9,170,19,19001,00960000,081063111,19001006,1,441230300,1,0
9,170,19,19001,00970000,002025127,19001007,1,,,
9,170,19,19001,00970000,081301556,19001013,1,441230300,1,0
9,170,19,19001,00970000,081301556,19001013,3,441230401,1,0
9,170,19,19001,00980000,082024633,19001002,1,9999999915,1,0
9,170,19,19001,00980001,000114232,19001008,1,9999999915,0,1
9,170,19,19001,00980163,000114233,19001008,1,441230300,0,1
9,170,19,19001,00980163,000114233,19001008,3,441230300,0,1
9,170,19,19001,00980163,000114233,19001008,4,0,0,1
9,170,19,19001,00986309,000114234,19001008,1,441230300,0,1
9,170,19,19001,00989922,022713356,19001002,1,9999999915,0,1
9,170,19,19001,00990000,002025121,19001007,1,9999999915,0,1
9,170,19,19001,00990000,088234874,19001012,1,9999999915,1,0
9,170,19,19001,00990000,088234874,19001012,3,441500300,1,0
9,170,19,19001,01000000,002024975,19001007,1,9999999915,0,1
9,170,19,19001,01000000,081410466,19001002,1,9999999915,1,0
9,170,19,19001,01000000,081410466,19001002,3,441230300,1,0
9,170,19,19001,01000000,081410466,19001002,4,441230401,1,0
9,170,19,19001,01000001,022713354,19001002,1,9999999915,1,0
9,170,19,19001,01000001,022713354,19001002,3,441230401,1,0
9,170,19,19001,01000001,022713354,19001002,4,441230300,1,0
9,170,19,19001,01010000,001410674,19001016,1,441500300,0,1
9,170,19,19001,01010000,001410674,19001016,3,441230401,0,1
9,170,19,19001,01010000,001410674,19001016,4,441230300,0,1
9,170,19,19001,01010000,002025588,19001004,1,441230300,0,1
9,170,19,19001,01010000,081221656,19001004,1,432320300,0,1
9,170,19,19001,01010000,082026608,19001012,1,441230300,1,0
9,170,19,19001,01010001,000114013,19001004,1,9999999915,1,0
9,170,19,19001,01010001,000114013,19001004,3,461130100,0,1
9,170,19,19001,01010001,000114833,19001004,1,441230300,0,1
9,170,19,19001,01010001,000114968,19001004,1,,,
9,170,19,19001,01020000,081526053,19001004,1,441230401,0,1
9,170,19,19001,01020000,081526053,19001004,3,432320300,1,0
9,170,19,19001,01020000,081526053,19001004,4,432200900,1,0
9,170,19,19001,01020000,082026387,19001018,1,441230401,1,0
9,170,19,19001,01020001,000114299,19001008,1,9999999915,0,1
9,170,19,19001,01030000,002024977,19001007,1,9999999915,0,1
9,170,19,19001,01040000,081221799,19001013,1,441230401,1,0
9,170,19,19001,01040000,081221799,19001013,3,432320300,1,0
9,170,19,19001,01040000,081410569,19001002,1,9999999915,0,1
9,170,19,19001,01040001,000114167,19001008,1,,,
9,170,19,19001,01040001,000115023,19001012,1,,,
9,170,19,19001,01040571,000115043,19001012,1,,,
9,170,19,19001,01041475,000115044,19001012,1,,,
9,170,19,19001,01045172,000115030,19001012,1,,,
9,170,19,19001,01047717,000115032,19001012,1,,,
9,170,19,19001,01049290,000115028,19001012,1,,,
9,170,19,19001,01050001,000114014,19001004,1,9999999915,0,1
9,170,19,19001,01050375,000115042,19001012,1,,,
9,170,19,19001,01052977,000115041,19001012,1,,,
9,170,19,19001,01057970,000115035,19001012,1,,,
9,170,19,19001,01058114,000115039,19001012,1,,,
9,170,19,19001,01060000,002025049,19001007,1,441230300,0,1
9,170,19,19001,01070000,081063130,19001006,1,9999999915,0,1
9,170,19,19001,01070000,081235155,19001021,1,9999999915,0,1
9,170,19,19001,01070000,081410495,19001021,1,432320300,1,0
9,170,19,19001,01070001,000114162,19001008,1,,,
9,170,19,19001,01070001,000114699,19001012,1,471500200,1,1
9,170,19,19001,01070001,000114727,19001006,1,,,
9,170,19,19001,01080000,002024989,19001007,1,9999999915,0,1
9,170,19,19001,01080001,022713344,19001002,1,9999999915,1,0
9,170,19,19001,01084410,022713346,19001002,1,9999999915,0,1
9,170,19,19001,01100000,002024978,19001007,1,9999999915,0,1
9,170,19,19001,01120000,082026166,19001014,1,432200900,0,0
9,170,19,19001,01120000,082026479,19001002,1,441500300,1,0
9,170,19,19001,01120001,022713349,19001002,1,9999999915,0,1
9,170,19,19001,01120976,000114918,19001014,1,9999999915,0,1
