,DPTO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,DPTO_CNMBR,MPM,MPM_CAB,MPM_CPRD,AFBMO_TOT,AFBMO_CAB,AFBMO_CPRD,BLE_TOT,BLE_CAB,BLE_CPRD,BSCPI_TOT,BSCPI_CAB,BSCPI_CPRD,BASS_TOT,BASS_CAB,BASS_CPRD,TDE_TOT,TDE_CAB,TDE_CPRD,HC_TOT,HC_CAB,HC_CPRD,IEE_TOT,IEE_CAB,IEE_CPRD,IE_TOT,IE_CAB,IE_CPRD,MIPE_TOT,MIPE_CAB,MIPE_CPRD,MIP_TOT,MIP_CAB,MIP_CPRD,RE_TOT,RE_CAB,RE_CPRD,SAFAM_TOT,SAFAM_CAB,SAFAM_CPRD,SAS_TOT,SAS_CAB,SAS_CPRD,TRINF_TOT,TRINF_CAB,TRINF_CPRD,TRIML_TOT,TRIML_CAB,TRIML_CPRD,Municipality code
155,52,LEIVA,52405,NARIÑO,55.3,36.1,64.5,22.0,14.7,25.4,79.1,59.9,88.2,1.1,1.8,0.7,5.5,3.7,6.3,46.5,51.8,44.0,10.6,17.3,7.5,21.3,11.5,25.9,5.9,3.3,7.1,2.2,1.7,2.3,43.1,15.7,56.2,21.0,19.1,21.9,38.9,4.0,55.5,9.5,11.5,8.6,3.2,1.2,4.2,95.1,91.1,97.0,52405
156,52,GUALMATÁN,52323,NARIÑO,30.9,20.5,39.7,9.4,8.2,10.4,67.4,55.1,77.7,0.6,0.8,0.4,3.9,3.1,4.5,47.4,41.6,52.2,12.6,17.0,8.8,10.5,4.3,15.8,1.8,0.6,2.8,0.2,0.2,0.2,29.9,16.5,41.1,15.6,13.1,17.7,2.7,0.5,4.5,5.7,6.8,4.7,1.1,0.5,1.6,92.8,89.3,95.8,52323
157,52,ILES,52352,NARIÑO,43.6,31.5,48.3,14.3,10.8,15.8,75.9,58.6,83.2,1.1,1.1,1.1,1.5,2.4,1.1,47.8,49.0,47.3,19.3,30.5,14.6,23.6,6.8,30.7,4.1,2.8,4.7,0.9,3.0,0.0,55.4,27.6,67.1,12.9,8.5,14.8,10.5,3.8,13.3,6.5,8.1,5.8,1.4,1.8,1.3,93.6,89.9,95.2,52352
158,52,IMUÉS,52354,NARIÑO,40.2,25.5,42.5,15.3,10.3,16.2,71.1,50.7,74.9,1.2,0.3,1.4,4.8,3.4,5.1,54.2,56.8,53.7,8.4,13.0,7.5,19.4,6.9,21.7,2.2,1.3,2.3,0.3,0.3,0.3,28.1,13.0,30.9,10.3,9.3,10.5,23.3,1.1,27.4,9.6,10.1,9.5,0.8,0.3,0.9,91.2,88.1,91.8,52354
159,52,IPIALES,52356,NARIÑO,23.4,14.7,41.0,9.6,5.8,17.8,57.0,46.5,79.3,1.4,1.2,1.8,3.4,3.5,3.2,28.4,27.7,30.0,11.7,12.0,11.0,13.4,2.0,37.5,3.5,2.5,5.5,0.4,0.4,0.3,9.1,1.6,24.9,15.3,13.8,18.5,11.7,0.8,34.8,11.7,12.6,9.8,1.7,1.0,3.3,89.8,87.9,93.9,52356
160,52,CUMBAL,52227,NARIÑO,28.6,15.3,31.9,15.3,7.8,17.3,68.4,51.3,72.9,1.5,1.1,1.6,0.7,0.6,0.8,45.8,41.0,47.1,10.3,14.9,9.1,12.6,3.5,15.0,3.9,1.9,4.4,1.7,0.3,2.1,13.2,2.8,16.0,11.7,8.1,12.6,10.0,0.8,12.4,9.2,11.5,8.6,1.7,0.8,2.0,93.7,90.2,94.6,52227
161,52,CUMBITARA,52233,NARIÑO,39.4,32.4,42.2,14.0,9.9,15.8,76.9,62.3,83.2,1.2,0.5,1.5,1.8,2.5,1.5,46.4,50.1,44.8,7.8,12.2,5.9,18.9,5.7,24.5,10.0,11.7,9.3,3.5,6.8,2.1,10.6,2.9,14.0,15.7,11.8,17.3,17.2,0.9,24.2,8.2,9.2,7.7,2.3,1.4,2.6,93.5,86.2,96.6,52233
162,52,EL ROSARIO,52256,NARIÑO,52.1,42.9,54.9,17.1,12.1,18.6,80.3,63.6,85.1,0.8,0.4,0.9,8.3,3.6,9.7,53.4,63.9,50.3,8.2,16.0,5.9,9.6,12.7,8.7,3.3,2.7,3.5,0.4,0.1,0.5,55.3,31.9,62.0,14.8,14.7,14.8,23.3,1.5,29.6,6.5,9.5,5.6,1.5,0.6,1.7,94.6,88.4,96.3,52256
163,52,LA LLANADA,52385,NARIÑO,33.6,28.5,39.3,10.0,6.0,14.7,67.1,55.8,80.4,1.3,0.7,1.9,1.8,1.8,1.8,54.7,72.6,33.8,9.2,11.7,6.3,9.5,2.4,17.8,2.6,1.7,3.5,2.8,3.7,1.7,19.1,12.4,27.0,15.1,15.2,15.0,22.8,0.6,48.9,7.4,7.8,7.0,0.6,0.4,0.8,94.5,93.8,95.2,52385
164,52,LOS ANDES,52418,NARIÑO,44.9,29.0,58.7,16.0,10.6,20.9,76.3,63.5,87.8,0.9,0.5,1.3,13.4,12.0,14.6,48.0,39.0,56.0,10.9,14.4,7.8,9.0,1.5,15.7,3.1,2.2,3.9,2.3,3.0,1.7,31.8,4.3,56.4,15.6,18.7,12.9,14.7,0.8,27.1,8.1,10.1,6.3,1.1,1.5,0.7,93.8,90.5,96.7,52418
165,52,POLICARPA,52540,NARIÑO,38.7,32.0,41.7,15.5,13.5,16.3,78.2,65.0,83.4,0.7,0.8,0.7,3.4,1.5,4.1,32.9,39.4,30.3,8.7,16.0,5.8,18.8,3.5,24.9,4.8,4.0,5.2,2.4,4.2,1.7,16.8,3.6,22.1,23.3,23.5,23.2,16.8,1.4,23.0,8.4,11.0,7.4,4.3,3.5,4.6,94.6,90.0,96.5,52540
166,52,RICAURTE,52612,NARIÑO,71.9,38.8,76.3,33.1,10.2,37.6,75.6,51.2,80.4,5.4,1.0,6.3,3.3,2.1,3.6,53.8,52.4,54.0,17.5,11.4,18.7,79.8,30.7,89.5,12.2,2.1,14.2,24.7,39.9,21.7,7.2,2.7,8.1,33.5,17.5,36.7,67.5,19.1,77.1,19.1,11.7,20.6,4.3,0.7,5.0,94.1,87.9,95.3,52612
167,52,BARBACOAS,52079,NARIÑO,76.1,61.3,83.3,33.5,18.1,41.8,78.3,58.2,89.3,6.2,3.1,7.9,5.5,5.2,5.7,53.0,49.6,54.9,16.2,15.6,16.5,79.7,73.5,83.1,12.2,7.0,15.1,16.9,35.3,6.8,2.8,1.8,3.4,38.3,32.5,41.4,87.7,84.9,89.3,21.5,19.7,22.5,4.1,1.9,5.3,95.4,93.0,96.8,52079
168,52,EL CHARCO,52250,NARIÑO,75.9,57.0,85.2,31.5,19.8,37.7,75.6,50.8,88.8,7.0,2.8,9.2,6.0,5.3,6.4,52.9,40.9,59.3,15.5,15.0,15.8,89.3,92.5,87.5,9.2,3.7,12.1,27.9,69.7,5.5,4.8,0.8,7.0,38.4,29.4,43.2,79.7,53.6,93.6,26.6,21.3,29.4,4.7,6.2,3.9,95.7,92.1,97.7,52250
169,52,LA TOLA,52390,NARIÑO,73.9,67.4,80.2,31.2,30.8,31.6,70.0,59.4,80.3,5.5,3.3,7.5,6.6,4.1,8.9,54.3,54.9,53.7,10.8,12.7,8.9,91.9,99.9,84.1,7.1,3.2,10.9,14.8,28.8,1.2,4.7,7.7,1.8,35.9,32.8,38.9,98.4,99.9,97.0,27.4,22.2,32.5,3.0,1.2,4.8,97.0,95.2,98.8,52390
170,52,MAGÜÍ,52427,NARIÑO,85.3,74.8,91.2,34.5,22.3,42.6,82.3,68.5,91.4,10.0,6.4,12.3,7.6,5.7,8.8,69.7,60.2,75.8,18.4,21.9,16.1,82.7,88.4,79.0,19.9,11.8,25.2,23.7,55.6,2.8,5.1,5.1,5.1,53.3,48.5,56.5,95.9,95.3,96.4,27.0,23.4,29.3,4.4,2.8,5.5,98.6,98.2,98.9,52427
171,52,MOSQUERA,52473,NARIÑO,70.2,69.4,71.0,23.5,20.7,25.9,65.6,53.5,76.4,7.7,5.1,10.1,3.8,6.6,1.4,43.5,43.8,43.4,4.6,5.0,4.1,98.0,98.5,97.6,6.6,4.7,8.3,42.7,90.6,0.1,1.1,0.4,1.7,29.0,26.6,31.1,96.3,98.5,94.4,35.6,37.0,34.3,3.9,2.9,4.8,95.4,93.0,97.6,52473
172,52,OLAYA HERRERA,52490,NARIÑO,75.9,71.0,80.3,27.4,21.9,32.4,74.1,63.4,83.7,8.1,6.1,9.9,5.9,7.7,4.4,52.2,47.5,56.5,13.7,14.8,12.7,95.0,96.0,94.0,10.5,9.8,11.2,40.7,83.7,1.5,3.8,0.5,6.8,40.0,38.4,41.6,90.4,83.7,96.4,25.8,22.0,29.2,4.2,3.5,4.8,96.9,95.7,97.9,52490
173,52,FRANCISCO PIZARRO,52520,NARIÑO,69.5,69.1,70.2,29.8,27.9,32.8,73.1,66.1,83.9,3.5,2.5,5.0,5.3,6.0,4.2,45.9,51.9,36.5,8.3,10.4,5.1,82.9,98.4,58.7,6.9,5.4,9.2,53.5,87.2,1.0,0.9,0.7,1.2,34.0,35.8,31.1,65.3,52.0,86.0,19.8,17.6,23.2,3.3,2.5,4.4,94.0,93.6,94.6,52520
